course,question,reference_answer,student_answer,instructor_score,semantic_score,rubric_score
Struktur Data,Jelaskan pengertian linked list,Linked list adalah struktur data linear yang terdiri dari node dimana setiap node menyimpan data dan pointer ke node berikutnya.,Jaringan internet sangat penting saat ini.,0.0,1603.7676,23.6
Struktur Data,Jelaskan pengertian linked list,Linked list adalah struktur data linear yang terdiri dari node dimana setiap node menyimpan data dan pointer ke node berikutnya.,pointer dimana setiap node ke adalah node dari yang struktur digunakan dalam sistem,71.20999908447266,8030.787,71.26153846153846
Struktur Data,Jelaskan pengertian linked list,Linked list adalah struktur data linear yang terdiri dari node dimana setiap node menyimpan data dan pointer ke node berikutnya.,node node strukbur ban lism lineaj,45.68000030517578,4778.5234,25.26666666666667
Struktur Data,Jelaskan pengertian linked list,Linked list adalah struktur data linear yang terdiri dari node dimana setiap node menyimpan data dan pointer ke node berikutnya.,list dari yang data berikutnya. dan Linked dimana data pointer ke menyimpan namun metode tersebut sudah tidak relevan,80.13999938964844,6034.639,100.0
Struktur Data,Jelaskan pengertian linked list,Linked list adalah struktur data linear yang terdiri dari node dimana setiap node menyimpan data dan pointer ke node berikutnya.,yang adalah menyimpan list dan node dimana pointer terdiri data node struktur berikutnya. Linked setiap node dari linear,92.94999694824219,8981.93,100.0
Struktur Data,Jelaskan pengertian linked list,Linked list adalah struktur data linear yang terdiri dari node dimana setiap node menyimpan data dan pointer ke node berikutnya.,Saya suka belajar pemrograman di kampus.,0.0,-180.41888,23.6
Struktur Data,Jelaskan pengertian linked list,Linked list adalah struktur data linear yang terdiri dari node dimana setiap node menyimpan data dan pointer ke node berikutnya.,Linked list adalah struktur data linear yang terdiri dari node dimana setiap node menyimpan data dan pointer ke node berikutnya. Contoh penerapannya sering ditemukan dalam sistem modern.,91.66000366210938,9203.976,100.0
Struktur Data,Jelaskan pengertian linked list,Linked list adalah struktur data linear yang terdiri dari node dimana setiap node menyimpan data dan pointer ke node berikutnya.,Saya suka belajar pemrograman di kampus.,0.0,-180.41888,23.6
Struktur Data,Jelaskan pengertian linked list,Linked list adalah struktur data linear yang terdiri dari node dimana setiap node menyimpan data dan pointer ke node berikutnya.,data Linked linear pointer adalah data list menyimpan dan dari terdiri berikutnya. ke node struktur node yang node,92.30000305175781,9168.015,100.0
Struktur Data,Jelaskan pengertian linked list,Linked list adalah struktur data linear yang terdiri dari node dimana setiap node menyimpan data dan pointer ke node berikutnya.,dimana node Linked yang node adalah dari menyimpan terdiri list dalam teknologi,80.9800033569336,7836.876,90.53333333333333
Struktur Data,Jelaskan pengertian linked list,Linked list adalah struktur data linear yang terdiri dari node dimana setiap node menyimpan data dan pointer ke node berikutnya.,list adalah terdiri node dimana struktur linear Linked yang node setiap pointer dan node data data dari berikutnya.,94.95999908447266,9326.711,100.0
Struktur Data,Jelaskan pengertian linked list,Linked list adalah struktur data linear yang terdiri dari node dimana setiap node menyimpan data dan pointer ke node berikutnya.,dan node adalah Linked data dimana linear berikutnya. terdiri list setiap dari node node yang ke struktur data,92.36000061035156,9185.06,100.0
Struktur Data,Jelaskan pengertian linked list,Linked list adalah struktur data linear yang terdiri dari node dimana setiap node menyimpan data dan pointer ke node berikutnya.,Linked list adalah struktur data linear yang terdiri dari node dimana setiap node menyimpan data dan pointer ke node berikutnya.,96.38999938964844,9999.998,100.0
Struktur Data,Jelaskan pengertian linked list,Linked list adalah struktur data linear yang terdiri dari node dimana setiap node menyimpan data dan pointer ke node berikutnya.,Linked list adalah struktur data linear yang terdiri dari node dimana setiap node menyimpan data dan pointer ke node berikutnya.,94.12000274658203,9999.998,100.0
Struktur Data,Jelaskan pengertian linked list,Linked list adalah struktur data linear yang terdiri dari node dimana setiap node menyimpan data dan pointer ke node berikutnya.,Linked list adalah struktur data linear yang terdiri dari node dimana setiap node menyimpan data dan pointer ke node berikutnya. Metode tersebut banyak digunakan dalam pengembangan aplikasi.,91.73999786376953,9188.406,100.0
Struktur Data,Jelaskan pengertian linked list,Linked list adalah struktur data linear yang terdiri dari node dimana setiap node menyimpan data dan pointer ke node berikutnya.,digunakan di komputer,0.0,2312.7114,21.8
Struktur Data,Jelaskan pengertian linked list,Linked list adalah struktur data linear yang terdiri dari node dimana setiap node menyimpan data dan pointer ke node berikutnya.,data pointer node linear list dimana terdiri data adalah setiap pada komputer,76.06999969482422,7817.1616,80.53333333333333
Struktur Data,Jelaskan pengertian linked list,Linked list adalah struktur data linear yang terdiri dari node dimana setiap node menyimpan data dan pointer ke node berikutnya.,Linked list adalah struktur data linear yang terdiri dari node dimana setiap node menyimpan data dan pointer ke node berikutnya. Contoh penerapannya sering ditemukan dalam sistem modern.,90.75,9203.976,100.0
Struktur Data,Jelaskan pengertian linked list,Linked list adalah struktur data linear yang terdiri dari node dimana setiap node menyimpan data dan pointer ke node berikutnya.,data pointer terdiri adalah berikutnya. node Linked dimana data dari struktur yang tetapi konsep tersebut tidak digunakan lagi,79.33000183105469,7377.3286,94.68888888888888
Struktur Data,Jelaskan pengertian linked list,Linked list adalah struktur data linear yang terdiri dari node dimana setiap node menyimpan data dan pointer ke node berikutnya.,list node Linked dari setiap yang dan linear pointer menyimpan pada komputer,82.1500015258789,7924.4927,97.2
Struktur Data,Jelaskan pengertian linked list,Linked list adalah struktur data linear yang terdiri dari node dimana setiap node menyimpan data dan pointer ke node berikutnya.,dimana data pointer yang setiap node data menyimpan node Linked berikutnya. dan list node linear dari adalah terdiri,89.80999755859375,8966.352,100.0
