course,question,reference_answer,student_answer,instructor_score,semantic_score,rubric_score
Algoritma Pemrograman,Apa itu algoritma sorting?,Algoritma sorting adalah metode untuk mengurutkan elemen dalam sebuah list atau array.,Algoritma sorting adalah metode untuk mengurutkan elemen dalam sebuah list atau array.,89.63999938964844,10000.002,97.2
Algoritma Pemrograman,Apa itu algoritma sorting?,Algoritma sorting adalah metode untuk mengurutkan elemen dalam sebuah list atau array.,Algoritma sorting adalah metode untuk mengurutkan elemen dalam sebuah list atau array.,91.56999969482422,10000.002,97.2
Algoritma Pemrograman,Apa itu algoritma sorting?,Algoritma sorting adalah metode untuk mengurutkan elemen dalam sebuah list atau array.,metode sorting array. untuk list sebuah adalah tetapi sistem tersebut jarang dipakai,63.7599983215332,6660.63,62.2
Algoritma Pemrograman,Apa itu algoritma sorting?,Algoritma sorting adalah metode untuk mengurutkan elemen dalam sebuah list atau array.,Python adalah bahasa pemrograman populer.,0.0,2748.8225,28.0
Algoritma Pemrograman,Apa itu algoritma sorting?,Algoritma sorting adalah metode untuk mengurutkan elemen dalam sebuah list atau array.,metode sebuah untuk sorting list dalam pada komputer,61.290000915527344,6700.5195,54.8
Algoritma Pemrograman,Apa itu algoritma sorting?,Algoritma sorting adalah metode untuk mengurutkan elemen dalam sebuah list atau array.,dalam untuk Algoritma elemen metode adalah mengurutkan atau array. sebuah,77.7300033569336,7850.064,86.0
Algoritma Pemrograman,Apa itu algoritma sorting?,Algoritma sorting adalah metode untuk mengurutkan elemen dalam sebuah list atau array.,adalah untuk sorting elemen atau list pada komputer,56.08000183105469,6144.618,54.8
Algoritma Pemrograman,Apa itu algoritma sorting?,Algoritma sorting adalah metode untuk mengurutkan elemen dalam sebuah list atau array.,Saya suka belajar pemrograman di kampus.,0.0,713.6722,23.6
Algoritma Pemrograman,Apa itu algoritma sorting?,Algoritma sorting adalah metode untuk mengurutkan elemen dalam sebuah list atau array.,Algoritma sorting adalah metode untuk mengurutkan elemen dalam sebuah list atau array.,91.33000183105469,10000.002,97.2
Algoritma Pemrograman,Apa itu algoritma sorting?,Algoritma sorting adalah metode untuk mengurutkan elemen dalam sebuah list atau array.,Algoritma sorting adalah metode untuk mengurutkan elemen dalam sebuah list atau array. Contoh penerapannya sering ditemukan dalam sistem modern.,87.05000305175781,8794.528,100.0
Algoritma Pemrograman,Apa itu algoritma sorting?,Algoritma sorting adalah metode untuk mengurutkan elemen dalam sebuah list atau array.,Saya suka belajar pemrograman di kampus.,0.0,713.6722,23.6
Algoritma Pemrograman,Apa itu algoritma sorting?,Algoritma sorting adalah metode untuk mengurutkan elemen dalam sebuah list atau array.,Algoritma sorting adalah metode untuk mengurutkan elemen dalam sebuah list atau array. Metode tersebut banyak digunakan dalam pengembangan aplikasi.,88.5,8975.523,99.29473684210527
Algoritma Pemrograman,Apa itu algoritma sorting?,Algoritma sorting adalah metode untuk mengurutkan elemen dalam sebuah list atau array.,sebuah mengurutkan adalah sorting Algoritma untuk dalam teknologi,64.86000061035156,6094.7573,69.8
Algoritma Pemrograman,Apa itu algoritma sorting?,Algoritma sorting adalah metode untuk mengurutkan elemen dalam sebuah list atau array.,untuk Akgorftma metode,20.420000076293945,3764.5415,31.8
Algoritma Pemrograman,Apa itu algoritma sorting?,Algoritma sorting adalah metode untuk mengurutkan elemen dalam sebuah list atau array.,Jaringan internet sangat penting saat ini.,0.0,-188.80612,23.6
Algoritma Pemrograman,Apa itu algoritma sorting?,Algoritma sorting adalah metode untuk mengurutkan elemen dalam sebuah list atau array.,Algoritma dalam list mengurutkan adalah atau elemen metode untuk sorting Pendekatan tersebut digunakan dalam berbagai kasus.,81.79000091552734,8304.881,88.35
Algoritma Pemrograman,Apa itu algoritma sorting?,Algoritma sorting adalah metode untuk mengurutkan elemen dalam sebuah list atau array.,untuk sistem,0.0,3040.2844,26.2
Algoritma Pemrograman,Apa itu algoritma sorting?,Algoritma sorting adalah metode untuk mengurutkan elemen dalam sebuah list atau array.,Algoritma sorting adalah metode untuk mengurutkan elemen dalam sebuah list atau array. Hal ini membantu meningkatkan efisiensi sistem.,84.69000244140625,8692.141,100.0
Algoritma Pemrograman,Apa itu algoritma sorting?,Algoritma sorting adalah metode untuk mengurutkan elemen dalam sebuah list atau array.,Algoritma elemen atau adalah list dalam metode untuk sebuah array.,79.66000366210938,8199.737,86.0
Algoritma Pemrograman,Apa itu algoritma sorting?,Algoritma sorting adalah metode untuk mengurutkan elemen dalam sebuah list atau array.,metode untuk dalam adalah atau Algoritma sorting namun metode tersebut sudah tidak relevan,58.029998779296875,4206.5483,71.26153846153846
Algoritma Pemrograman,Apa itu algoritma sorting?,Algoritma sorting adalah metode untuk mengurutkan elemen dalam sebuah list atau array.,atau mengurutkan untuk list Algoritma array. elemen sorting dalam adalah,80.87000274658203,8685.782,86.0
Algoritma Pemrograman,Apa itu algoritma sorting?,Algoritma sorting adalah metode untuk mengurutkan elemen dalam sebuah list atau array.,belum mengerti,0.0,-578.3918,21.2
Algoritma Pemrograman,Apa itu algoritma sorting?,Algoritma sorting adalah metode untuk mengurutkan elemen dalam sebuah list atau array.,untuk sorting array. adalah sebuah list atau dalam metode Algoritma,80.33999633789062,8745.654,86.0
Algoritma Pemrograman,Apa itu algoritma sorting?,Algoritma sorting adalah metode untuk mengurutkan elemen dalam sebuah list atau array.,mengurutkan sorting atbu,28.34000015258789,5485.051,31.8
Algoritma Pemrograman,Apa itu algoritma sorting?,Algoritma sorting adalah metode untuk mengurutkan elemen dalam sebuah list atau array.,metode atau sorting untuk dalam mengurutkan sebuah array. Algoritma elemen,80.79000091552734,8920.687,86.0
Algoritma Pemrograman,Apa itu algoritma sorting?,Algoritma sorting adalah metode untuk mengurutkan elemen dalam sebuah list atau array.,list sebuah untuk mengurutkan array. dalam dalam teknologi,59.380001068115234,6375.168,52.3
Algoritma Pemrograman,Apa itu algoritma sorting?,Algoritma sorting adalah metode untuk mengurutkan elemen dalam sebuah list atau array.,Mahasiswa harus rajin belajar setiap hari.,0.0,917.88666,23.6
Algoritma Pemrograman,Apa itu algoritma sorting?,Algoritma sorting adalah metode untuk mengurutkan elemen dalam sebuah list atau array.,Algoritma elemen list mengurutkan array. sorting dalam teknologi,74.38999938964844,8506.741,69.8
Algoritma Pemrograman,Apa itu algoritma sorting?,Algoritma sorting adalah metode untuk mengurutkan elemen dalam sebuah list atau array.,Saya suka belajar pemrograman di kampus.,0.0,713.6722,23.6
Algoritma Pemrograman,Apa itu algoritma sorting?,Algoritma sorting adalah metode untuk mengurutkan elemen dalam sebuah list atau array.,untuk dalam mengurutkan sebuah adalah atau dalam teknologi,42.439998626708984,2755.41,52.3
Algoritma Pemrograman,Apa itu algoritma sorting?,Algoritma sorting adalah metode untuk mengurutkan elemen dalam sebuah list atau array.,Jaringan internet sangat penting saat ini.,0.0,-188.80612,23.6
Algoritma Pemrograman,Apa itu algoritma sorting?,Algoritma sorting adalah metode untuk mengurutkan elemen dalam sebuah list atau array.,metode sebuah mengurutkan elemen untuk adalah pada komputer,54.060001373291016,5837.7065,54.8
Algoritma Pemrograman,Apa itu algoritma sorting?,Algoritma sorting adalah metode untuk mengurutkan elemen dalam sebuah list atau array.,Algoritma sorting adalah metode untuk mengurutkan elemen dalam sebuah list atau array.,90.58999633789062,10000.002,97.2
Algoritma Pemrograman,Apa itu algoritma sorting?,Algoritma sorting adalah metode untuk mengurutkan elemen dalam sebuah list atau array.,mengurutkan adalah dalam list Algoritma sebuah array. atau metode elemen,81.58000183105469,8350.471,86.0
Algoritma Pemrograman,Apa itu algoritma sorting?,Algoritma sorting adalah metode untuk mengurutkan elemen dalam sebuah list atau array.,zrray. sorting sebuah,15.220000267028809,2839.317,31.8
Algoritma Pemrograman,Apa itu algoritma sorting?,Algoritma sorting adalah metode untuk mengurutkan elemen dalam sebuah list atau array.,tidak tahu,0.0,50.51469,21.2
Algoritma Pemrograman,Apa itu algoritma sorting?,Algoritma sorting adalah metode untuk mengurutkan elemen dalam sebuah list atau array.,Algoritma sorting adalah metode untuk mengurutkan elemen dalam sebuah list atau array. Pendekatan tersebut digunakan dalam berbagai kasus.,88.33000183105469,9450.527,99.68888888888888
Algoritma Pemrograman,Apa itu algoritma sorting?,Algoritma sorting adalah metode untuk mengurutkan elemen dalam sebuah list atau array.,list sebuah mengurutkan array. atau adalah Algoritma meskipun sebenarnya tidak diperlukan,72.12999725341797,7235.3086,71.6
Algoritma Pemrograman,Apa itu algoritma sorting?,Algoritma sorting adalah metode untuk mengurutkan elemen dalam sebuah list atau array.,sorting Algoritma list atau array. sebuah digunakan dalam sistem,78.27999877929688,8303.971,70.4
Algoritma Pemrograman,Apa itu algoritma sorting?,Algoritma sorting adalah metode untuk mengurutkan elemen dalam sebuah list atau array.,digunakan di komputer,0.0,1291.1346,21.8
Algoritma Pemrograman,Apa itu algoritma sorting?,Algoritma sorting adalah metode untuk mengurutkan elemen dalam sebuah list atau array.,Algoritma sorting adalah metode untuk mengurutkan elemen dalam sebuah list atau array. Pendekatan tersebut digunakan dalam berbagai kasuo.,88.3499984741211,8847.033,99.68888888888888
Algoritma Pemrograman,Apa itu algoritma sorting?,Algoritma sorting adalah metode untuk mengurutkan elemen dalam sebuah list atau array.,uanuk bdalah Algfritma,0.0,886.411,21.8
Algoritma Pemrograman,Apa itu algoritma sorting?,Algoritma sorting adalah metode untuk mengurutkan elemen dalam sebuah list atau array.,Algoritma sorting adalah metode untuk mengurutkan elemen dalam sebuah list atau array. Metode tersebut banyak digunakan dalam pengembangan aplikasi.,87.02999877929688,8975.523,99.29473684210527
Algoritma Pemrograman,Apa itu algoritma sorting?,Algoritma sorting adalah metode untuk mengurutkan elemen dalam sebuah list atau array.,array. adalah list metode elemen dalam untuk Algoritma sebuah mengurutkan,80.0199966430664,8569.609,86.0
Algoritma Pemrograman,Apa itu algoritma sorting?,Algoritma sorting adalah metode untuk mengurutkan elemen dalam sebuah list atau array.,mengurutkan adalah dalam metode list untuk pada komputer,56.40999984741211,5867.87,54.8
Algoritma Pemrograman,Apa itu algoritma sorting?,Algoritma sorting adalah metode untuk mengurutkan elemen dalam sebuah list atau array.,Algoritma sorting adalah metode untuk mengurutkan elemen dalam sebuah list atau array. Hal ini membantu meningkatkan efisiensi sistem.,84.5199966430664,8692.141,100.0
Algoritma Pemrograman,Apa itu algoritma sorting?,Algoritma sorting adalah metode untuk mengurutkan elemen dalam sebuah list atau array.,elemen array. adalah dalam metode Algoritma dalam teknologi,62.61000061035156,6503.7856,62.3
Algoritma Pemrograman,Apa itu algoritma sorting?,Algoritma sorting adalah metode untuk mengurutkan elemen dalam sebuah list atau array.,Jaringan internet sangat penting saat ini.,0.0,-188.80612,23.6
Algoritma Pemrograman,Apa itu algoritma sorting?,Algoritma sorting adalah metode untuk mengurutkan elemen dalam sebuah list atau array.,array. elemen adalah list mengurutkan Algoritma metode sorting sebuah dalam Konsep ini penting dalam dunia teknologi informasi.,83.38999938964844,8162.286,89.02352941176471
Algoritma Pemrograman,Apa itu algoritma sorting?,Algoritma sorting adalah metode untuk mengurutkan elemen dalam sebuah list atau array.,tidak tahu,0.0,50.51469,21.2
Algoritma Pemrograman,Apa itu algoritma sorting?,Algoritma sorting adalah metode untuk mengurutkan elemen dalam sebuah list atau array.,Algoritma sorting untuk elemen list metode sebuah adalah array. mengurutkan,86.25,9471.126,86.0
