course,question,reference_answer,student_answer,instructor_score,semantic_score,rubric_score
PENGANTAR ILMU KOMPUTER,Apa itu komputer?,Komputer adalah perangkat elektronik yang dapat memproses data dan menjalankan program untuk melakukan berbagai tugas.,elnctrgnik yang Kommlter untuk,0.0,-181.21951,32.4
PENGANTAR ILMU KOMPUTER,Apa itu komputer?,Komputer adalah perangkat elektronik yang dapat memproses data dan menjalankan program untuk melakukan berbagai tugas.,Komputer uutuk program adalah,41.56999969482422,7769.9854,37.4
PENGANTAR ILMU KOMPUTER,Apa itu komputer?,Komputer adalah perangkat elektronik yang dapat memproses data dan menjalankan program untuk melakukan berbagai tugas.,tugas. program perangkat data elektronik yang untuk dalam teknologi,69.95999908447266,8173.429,60.4
PENGANTAR ILMU KOMPUTER,Apa itu komputer?,Komputer adalah perangkat elektronik yang dapat memproses data dan menjalankan program untuk melakukan berbagai tugas.,perangkat dan data adalah Komputer untuk tugas. berbagai memproses dapat elektronik program menjalankan,84.8499984741211,9512.1875,92.8
PENGANTAR ILMU KOMPUTER,Apa itu komputer?,Komputer adalah perangkat elektronik yang dapat memproses data dan menjalankan program untuk melakukan berbagai tugas.,program adalah berbagai dan Komputer tugas. yang digunakan dalam sistem,72.88999938964844,8749.824,61.0
PENGANTAR ILMU KOMPUTER,Apa itu komputer?,Komputer adalah perangkat elektronik yang dapat memproses data dan menjalankan program untuk melakukan berbagai tugas.,Komputer adalah perangkat elektronik yang dapat memproses data dan menjalankan program untuk melakukan berbagai tugas.,88.0,10000.002,100.0
PENGANTAR ILMU KOMPUTER,Apa itu komputer?,Komputer adalah perangkat elektronik yang dapat memproses data dan menjalankan program untuk melakukan berbagai tugas.,dan melakukan perangkat tugas. adalah yang untuk elektronik program berbagai memproses Komputer dapat,79.22000122070312,9129.02,92.8
PENGANTAR ILMU KOMPUTER,Apa itu komputer?,Komputer adalah perangkat elektronik yang dapat memproses data dan menjalankan program untuk melakukan berbagai tugas.,tugas. yang melakukan Komputer menjalankan elektronik program berbagai adalah namun metode tersebut sudah tidak relevan,65.33000183105469,6659.5063,74.0
PENGANTAR ILMU KOMPUTER,Apa itu komputer?,Komputer adalah perangkat elektronik yang dapat memproses data dan menjalankan program untuk melakukan berbagai tugas.,dan untuk berbagai tugas. yang elektronik memproses dapat program namun metode tersebut sudah tidak relevan,60.630001068115234,5329.0547,74.0
PENGANTAR ILMU KOMPUTER,Apa itu komputer?,Komputer adalah perangkat elektronik yang dapat memproses data dan menjalankan program untuk melakukan berbagai tugas.,Komputer adalah perangkat elektronik yang dapat memproses data dan menjalankan program untuk melakukan berbagai tugas. Contoh penerapannya sering ditemukan dalam sistem modern.,85.08999633789062,8882.076,100.0
PENGANTAR ILMU KOMPUTER,Apa itu komputer?,Komputer adalah perangkat elektronik yang dapat memproses data dan menjalankan program untuk melakukan berbagai tugas.,program elektronik adalah dan data dapat melakukan yang perangkat tetapi sistem tersebut jarang dipakai,68.62000274658203,7337.825,73.4
PENGANTAR ILMU KOMPUTER,Apa itu komputer?,Komputer adalah perangkat elektronik yang dapat memproses data dan menjalankan program untuk melakukan berbagai tugas.,untuk tugas. melakukan berbagai Komputer adalah program digunakan dalam sistem,74.01000213623047,8924.68,61.0
PENGANTAR ILMU KOMPUTER,Apa itu komputer?,Komputer adalah perangkat elektronik yang dapat memproses data dan menjalankan program untuk melakukan berbagai tugas.,Komputer adalah perangkat elektronik yang dapat memproses data dan menjalankan program untuk melakukan berbagai tugas. Konsep ini penting dalam dunia teknologi informasi.,82.94999694824219,8990.065,100.0
PENGANTAR ILMU KOMPUTER,Apa itu komputer?,Komputer adalah perangkat elektronik yang dapat memproses data dan menjalankan program untuk melakukan berbagai tugas.,untuk data Komputer melakukan berbagai program memproses dan adalah namun metode tersebut sudah tidak relevan,64.69999694824219,6418.309,74.0
PENGANTAR ILMU KOMPUTER,Apa itu komputer?,Komputer adalah perangkat elektronik yang dapat memproses data dan menjalankan program untuk melakukan berbagai tugas.,Komputer adalah perangkat elektronik yang dapat memproses data dan menjalankan program untuk melakukan berbagai tugas.,85.55999755859375,10000.002,100.0
PENGANTAR ILMU KOMPUTER,Apa itu komputer?,Komputer adalah perangkat elektronik yang dapat memproses data dan menjalankan program untuk melakukan berbagai tugas.,Mahasiswa harus rajin belajar setiap hari.,0.0,1192.8159,23.6
PENGANTAR ILMU KOMPUTER,Apa itu komputer?,Komputer adalah perangkat elektronik yang dapat memproses data dan menjalankan program untuk melakukan berbagai tugas.,untuk sistem,0.0,2318.9558,26.2
PENGANTAR ILMU KOMPUTER,Apa itu komputer?,Komputer adalah perangkat elektronik yang dapat memproses data dan menjalankan program untuk melakukan berbagai tugas.,Komputer yang untuk menjalankan elektronik tugas. dan dalam teknologi,74.0999984741211,8632.268,60.4
PENGANTAR ILMU KOMPUTER,Apa itu komputer?,Komputer adalah perangkat elektronik yang dapat memproses data dan menjalankan program untuk melakukan berbagai tugas.,program melakukan adalah Komputer perangkat dan menjalankan dalam teknologi,72.80999755859375,8634.858,60.4
PENGANTAR ILMU KOMPUTER,Apa itu komputer?,Komputer adalah perangkat elektronik yang dapat memproses data dan menjalankan program untuk melakukan berbagai tugas.,melukukon remproses prorram denjalankan,0.0,883.99554,22.4
PENGANTAR ILMU KOMPUTER,Apa itu komputer?,Komputer adalah perangkat elektronik yang dapat memproses data dan menjalankan program untuk melakukan berbagai tugas.,melawukan jang berbagai Komputer,31.389999389648438,5947.788,32.4
PENGANTAR ILMU KOMPUTER,Apa itu komputer?,Komputer adalah perangkat elektronik yang dapat memproses data dan menjalankan program untuk melakukan berbagai tugas.,tidak tahu,0.0,-261.7084,21.2
PENGANTAR ILMU KOMPUTER,Apa itu komputer?,Komputer adalah perangkat elektronik yang dapat memproses data dan menjalankan program untuk melakukan berbagai tugas.,Saya suka belajar pemrograman di kampus.,0.0,3342.749,23.6
PENGANTAR ILMU KOMPUTER,Apa itu komputer?,Komputer adalah perangkat elektronik yang dapat memproses data dan menjalankan program untuk melakukan berbagai tugas.,Komputer adalah perangkat elektronik yang dapat memproses data dan menjalankan program untuk melakukan berbagai tugas. Hal ini membantu meningkatkan efisiensi sistem.,86.20999908447266,9209.985,100.0
PENGANTAR ILMU KOMPUTER,Apa itu komputer?,Komputer adalah perangkat elektronik yang dapat memproses data dan menjalankan program untuk melakukan berbagai tugas.,program untuk berbagai yang Komputer melakukan elektronik dalam teknologi,72.33000183105469,8603.69,60.4
PENGANTAR ILMU KOMPUTER,Apa itu komputer?,Komputer adalah perangkat elektronik yang dapat memproses data dan menjalankan program untuk melakukan berbagai tugas.,untuk sistem,0.0,2318.9558,26.2
