course,question,reference_answer,student_answer,instructor_score,semantic_score,rubric_score
Jaringan Komputer,Apa itu protokol TCP/IP?,TCP/IP adalah protokol komunikasi yang digunakan untuk menghubungkan perangkat di internet.,komunikasi internet. menghubungkan digunakan yang digunakan dalam sistem,64.23999786376953,8420.154,47.3
Jaringan Komputer,Apa itu protokol TCP/IP?,TCP/IP adalah protokol komunikasi yang digunakan untuk menghubungkan perangkat di internet.,TCP/IP adalah protokol komunikasi yang digunakan untuk menghubungkan perangkat di internet. Konsep ini penting dalam dunia teknologi informasi.,88.2300033569336,9090.013,95.8
Jaringan Komputer,Apa itu protokol TCP/IP?,TCP/IP adalah protokol komunikasi yang digunakan untuk menghubungkan perangkat di internet.,perangkat untuk menghubungkan yang protokol komunikasi di internet. TCP/IP Konsep ini penting dalam dunia teknologi informasi.,82.97000122070312,8258.846,84.6
Jaringan Komputer,Apa itu protokol TCP/IP?,TCP/IP adalah protokol komunikasi yang digunakan untuk menghubungkan perangkat di internet.,TCP/IP adalah protokol komunikasi yang digunakan untuk menghubungkan perangkat di internet. Metode tersebut banyak digunakan dalam pengembangan aplikasi.,85.98999786376953,9220.004,94.68888888888888
Jaringan Komputer,Apa itu protokol TCP/IP?,TCP/IP adalah protokol komunikasi yang digunakan untuk menghubungkan perangkat di internet.,internet. yang komunikasi di protokol dalam teknologi,74.37999725341797,8535.447,59.2
Jaringan Komputer,Apa itu protokol TCP/IP?,TCP/IP adalah protokol komunikasi yang digunakan untuk menghubungkan perangkat di internet.,komunikasi internet. TCP/IP yang menghubungkan dalam teknologi,68.75,9327.384,49.2
Jaringan Komputer,Apa itu protokol TCP/IP?,TCP/IP adalah protokol komunikasi yang digunakan untuk menghubungkan perangkat di internet.,untuk internet. menghubungkan di adalah dalam teknologi,61.459999084472656,7733.1973,49.2
Jaringan Komputer,Apa itu protokol TCP/IP?,TCP/IP adalah protokol komunikasi yang digunakan untuk menghubungkan perangkat di internet.,di protokol TCP/IP adalah menghubungkan internet. tetapi sistem tersebut jarang dipakai,76.66000366210938,8344.107,66.6
Jaringan Komputer,Apa itu protokol TCP/IP?,TCP/IP adalah protokol komunikasi yang digunakan untuk menghubungkan perangkat di internet.,TCP/IP adalah protokol komunikasi yang digunakan untuk menghubungkan perangkat di internet.,90.44000244140625,9999.998,91.6
Jaringan Komputer,Apa itu protokol TCP/IP?,TCP/IP adalah protokol komunikasi yang digunakan untuk menghubungkan perangkat di internet.,perangkat TCP/IP komunikasi protokol yang digunakan dalam sistem,74.83999633789062,8907.391,64.8
Jaringan Komputer,Apa itu protokol TCP/IP?,TCP/IP adalah protokol komunikasi yang digunakan untuk menghubungkan perangkat di internet.,di adalah oenghubungzan,0.0,-1471.6217,31.8
Jaringan Komputer,Apa itu protokol TCP/IP?,TCP/IP adalah protokol komunikasi yang digunakan untuk menghubungkan perangkat di internet.,intcrnlt. menghubungkan TCP/IP,39.970001220703125,7980.49,31.8
Jaringan Komputer,Apa itu protokol TCP/IP?,TCP/IP adalah protokol komunikasi yang digunakan untuk menghubungkan perangkat di internet.,tidak tahu,0.0,-313.92007,21.2
Jaringan Komputer,Apa itu protokol TCP/IP?,TCP/IP adalah protokol komunikasi yang digunakan untuk menghubungkan perangkat di internet.,TCP/IP adalah protokol komunikasi yang digunakan untuk menghubungkan perangkat di internet. Hal ini membantu meningkatkan efisiensi sistem.,87.20999908447266,9115.318,95.2
Jaringan Komputer,Apa itu protokol TCP/IP?,TCP/IP adalah protokol komunikasi yang digunakan untuk menghubungkan perangkat di internet.,TCP/IP adalah yang perangkat menghubungkan digunakan untuk komunikasi di Metode tersebut banyak digunakan dalam pengembangan aplikasi.,78.0999984741211,8849.398,73.35
Jaringan Komputer,Apa itu protokol TCP/IP?,TCP/IP adalah protokol komunikasi yang digunakan untuk menghubungkan perangkat di internet.,adalah digunakan di protokol menghubungkan perangkat tetapi sistem tersebut jarang dipakai,68.43000030517578,6291.675,66.6
Jaringan Komputer,Apa itu protokol TCP/IP?,TCP/IP adalah protokol komunikasi yang digunakan untuk menghubungkan perangkat di internet.,tidak tahu,0.0,-313.92007,21.2
Jaringan Komputer,Apa itu protokol TCP/IP?,TCP/IP adalah protokol komunikasi yang digunakan untuk menghubungkan perangkat di internet.,TCP/IP digunakan adalah protokol yang digunakan dalam sistem,75.52999877929688,8854.779,57.3
Jaringan Komputer,Apa itu protokol TCP/IP?,TCP/IP adalah protokol komunikasi yang digunakan untuk menghubungkan perangkat di internet.,protokol adalah peraigkav,24.389999389648438,3516.6763,41.8
Jaringan Komputer,Apa itu protokol TCP/IP?,TCP/IP adalah protokol komunikasi yang digunakan untuk menghubungkan perangkat di internet.,yang TCP/IP menghubungkan adalah digunakan untuk komunikasi perangkat protokol,82.94000244140625,9304.467,80.4
Jaringan Komputer,Apa itu protokol TCP/IP?,TCP/IP adalah protokol komunikasi yang digunakan untuk menghubungkan perangkat di internet.,digunakan yang perangkat TCP/IP untuk digunakan dalam sistem,62.22999954223633,7989.8384,47.3
Jaringan Komputer,Apa itu protokol TCP/IP?,TCP/IP adalah protokol komunikasi yang digunakan untuk menghubungkan perangkat di internet.,TCP/IP adalah protokol komunikasi yang digunakan untuk menghubungkan perangkat di internet. Hal ini membantu meningkatkan efisiensi sistem.,88.41999816894531,9115.318,95.2
Jaringan Komputer,Apa itu protokol TCP/IP?,TCP/IP adalah protokol komunikasi yang digunakan untuk menghubungkan perangkat di internet.,untuk sistem,0.0,2420.6887,26.2
Jaringan Komputer,Apa itu protokol TCP/IP?,TCP/IP adalah protokol komunikasi yang digunakan untuk menghubungkan perangkat di internet.,yang menghubungkan di adalah digunakan digunakan dalam sistem,49.599998474121094,4670.074,47.3
Jaringan Komputer,Apa itu protokol TCP/IP?,TCP/IP adalah protokol komunikasi yang digunakan untuk menghubungkan perangkat di internet.,Saya suka belajar pemrograman di kampus.,0.0,2366.8906,28.6
Jaringan Komputer,Apa itu protokol TCP/IP?,TCP/IP adalah protokol komunikasi yang digunakan untuk menghubungkan perangkat di internet.,TCP/IP adalah protokol komunikasi yang digunakan untuk menghubungkan perangkat di internet. Hal ini membantu meningkatkan efisiensi sistem.,88.7699966430664,9115.318,95.2
Jaringan Komputer,Apa itu protokol TCP/IP?,TCP/IP adalah protokol komunikasi yang digunakan untuk menghubungkan perangkat di internet.,Jaringan internet sangat penting saat ini.,13.15999984741211,6487.869,23.6
Jaringan Komputer,Apa itu protokol TCP/IP?,TCP/IP adalah protokol komunikasi yang digunakan untuk menghubungkan perangkat di internet.,TCP/IP adalah protokol komunikasi yang digunakan untuk menghubungkan perangkat di internet.,89.13999938964844,9999.998,91.6
Jaringan Komputer,Apa itu protokol TCP/IP?,TCP/IP adalah protokol komunikasi yang digunakan untuk menghubungkan perangkat di internet.,Database digunakan untuk menyimpan data.,1.7799999713897705,3768.3457,33.0
Jaringan Komputer,Apa itu protokol TCP/IP?,TCP/IP adalah protokol komunikasi yang digunakan untuk menghubungkan perangkat di internet.,TCP/IP adalah protokol komunikasi yang digunakan untuk menghubungkan perangkat di internet.,88.47000122070312,9999.998,91.6
Jaringan Komputer,Apa itu protokol TCP/IP?,TCP/IP adalah protokol komunikasi yang digunakan untuk menghubungkan perangkat di internet.,TCP/IP adalah protokol komunikasi yang digunakan untuk menghubungkan perangkat di internet. Metode tersebut banyak digunakan dalam pengembangan aplikasi.,89.5,9220.004,94.68888888888888
