index,gen_score
140,80
296,90
254,80
317,60
482,80
18,80
382,90
426,70
66,80
83,95
105,90
139,80
405,70
39,90
14,85
54,80
132,90
215,70
135,90
272,90
411,80
465,80
355,70
294,90
110,90
123,90
159,90
268,90
52,80
75,80
210,80
113,80
179,95
387,85
59,60
48,90
271,70
412,80
402,70
120,85
34,90
153,95
408,70
158,80
133,85
298,90
9,80
242,70
246,80
341,90
285,80
177,70
288,80
162,80
492,70
33,90
112,80
232,90
234,70
300,90
233,70
218,90
84,80
163,80
95,80
115,85
56,90
316,85
381,90
325,70
185,90
323,70
129,70
30,95
282,80
90,70
49,85
261,70
243,90
182,80
71,80
2,90
98,90
184,85
204,80
383,90
50,60
102,80
108,80
131,90
236,80
7,80
263,90
265,85
452,80
280,70
315,60
427,80
283,80
74,80
239,80
299,80
379,80
240,70
289,80
321,80
457,80
119,90
338,90
160,80
36,70
499,80
314,90
363,70
147,95
428,80
118,90
82,90
350,70
490,80
32,90
307,80
403,70
189,70
19,80
422,80
40,85
122,70
154,90
21,90
230,70
96,90
292,90
416,70
53,90
192,80
346,80
10,90
166,90
11,80
216,70
69,70
421,90
67,90
78,90
134,80
368,70
414,80
380,90
97,90
42,70
466,80
476,90
266,85
253,80
121,90
260,70
35,80
63,80
420,90
320,70
88,70
130,70
447,85
116,95
171,90
474,90
181,95
352,90
137,90
103,95
407,90
333,85
136,90
44,70
393,90
165,80
174,70
318,60
142,80
291,70
143,90
279,80
186,80
309,70
198,90
125,90
442,85
327,90
244,90
228,80
224,70
451,80
303,85
417,90
378,90
464,80
371,90
406,60
262,90
