course,question,reference_answer,student_answer,instructor_score,semantic_score,rubric_score
Basis Data,Apa itu basis data?,Basis data adalah sekumpulan data yang sistematis dan terorganisir yang disimpan dalam komputer.,Basis data adalah sekumpulan data yang sistematis dan terorganisir yang disimpan dalam komputer.,89.91000366210938,9999.996,89.72307692307692
Basis Data,Apa itu basis data?,Basis data adalah sekumpulan data yang sistematis dan terorganisir yang disimpan dalam komputer.,data dalam disimpan sistematis dan Basis pada komputer,77.04000091552734,9334.643,64.8
Basis Data,Apa itu basis data?,Basis data adalah sekumpulan data yang sistematis dan terorganisir yang disimpan dalam komputer.,yang Basis komputer. sekumpulan terorganisir adalah digunakan dalam sistem,76.43000030517578,7998.302,70.4
Basis Data,Apa itu basis data?,Basis data adalah sekumpulan data yang sistematis dan terorganisir yang disimpan dalam komputer.,yang data adalah dalam dan data Basis disimpan komputer. terorganisir sistematis,85.01000213623047,9460.262,84.78181818181818
Basis Data,Apa itu basis data?,Basis data adalah sekumpulan data yang sistematis dan terorganisir yang disimpan dalam komputer.,Jaringan internet sangat penting saat ini.,0.0,2661.534,23.6
Basis Data,Apa itu basis data?,Basis data adalah sekumpulan data yang sistematis dan terorganisir yang disimpan dalam komputer.,Basis data adalah sekumpulan data yang sistematis dan terorganisir yang disimpan dalam komputer. Pendekatan tersebut digunakan dalam berbagai kasus.,86.26000213623047,9013.66,93.2421052631579
Basis Data,Apa itu basis data?,Basis data adalah sekumpulan data yang sistematis dan terorganisir yang disimpan dalam komputer.,Basis data adalah sekumpulan data yang sistematis dan terorganisir yang disimpan dalam komputer. Hal ini membantu meningkatkan efisiensi sistem.,86.63999938964844,9072.233,94.29473684210527
Basis Data,Apa itu basis data?,Basis data adalah sekumpulan data yang sistematis dan terorganisir yang disimpan dalam komputer.,tidak tahu,0.0,568.82074,21.2
Basis Data,Apa itu basis data?,Basis data adalah sekumpulan data yang sistematis dan terorganisir yang disimpan dalam komputer.,Basis data adalah sekumpulan data yang sistematis dan terorganisir yang disimpan dalam komputer. Contoh penerapannya sering ditemukan dalam sistem modern.,85.52999877929688,8870.146,94.0
Basis Data,Apa itu basis data?,Basis data adalah sekumpulan data yang sistematis dan terorganisir yang disimpan dalam komputer.,yang adalah dalam yang sistematis terorganisir sekumpulan namun metode tersebut sudah tidak relevan,44.40999984741211,2819.6023,56.261538461538464
Basis Data,Apa itu basis data?,Basis data adalah sekumpulan data yang sistematis dan terorganisir yang disimpan dalam komputer.,yang dalam komputer. Basis data dan adalah meskipun sebenarnya tidak diperlukan,70.45999908447266,6793.461,71.6
Basis Data,Apa itu basis data?,Basis data adalah sekumpulan data yang sistematis dan terorganisir yang disimpan dalam komputer.,belum mengerti,0.0,713.41486,21.2
Basis Data,Apa itu basis data?,Basis data adalah sekumpulan data yang sistematis dan terorganisir yang disimpan dalam komputer.,Mahasiswa harus rajin belajar setiap hari.,0.0,304.47858,23.6
Basis Data,Apa itu basis data?,Basis data adalah sekumpulan data yang sistematis dan terorganisir yang disimpan dalam komputer.,dalam dan Basis yang sistematis adalah komputer. data data yang disimpan Metode tersebut banyak digunakan dalam pengembangan aplikasi.,81.56999969482422,8138.1865,82.46666666666667
Basis Data,Apa itu basis data?,Basis data adalah sekumpulan data yang sistematis dan terorganisir yang disimpan dalam komputer.,data yang sistematis sekumpulan disimpan dan komputer. terorganisir dalam data yang,74.91000366210938,9083.553,67.96363636363637
Basis Data,Apa itu basis data?,Basis data adalah sekumpulan data yang sistematis dan terorganisir yang disimpan dalam komputer.,dava disimpan sompufer.,0.0,192.42902,26.8
Basis Data,Apa itu basis data?,Basis data adalah sekumpulan data yang sistematis dan terorganisir yang disimpan dalam komputer.,Basis eistematis yvng,23.770000457763672,3820.9534,36.8
Basis Data,Apa itu basis data?,Basis data adalah sekumpulan data yang sistematis dan terorganisir yang disimpan dalam komputer.,data dan sistematis data disimpan Basis yang terorganisir sekumpulan dalam komputer. Contoh penerapannya sering ditemukan dalam sistem modern.,81.19999694824219,8490.505,88.57777777777777
Basis Data,Apa itu basis data?,Basis data adalah sekumpulan data yang sistematis dan terorganisir yang disimpan dalam komputer.,Basis data adalah sekumpulan data yang sistematis dan terorganisir yang disimpan dalam komputer.,88.91999816894531,9999.996,89.72307692307692
Basis Data,Apa itu basis data?,Basis data adalah sekumpulan data yang sistematis dan terorganisir yang disimpan dalam komputer.,digunakan di komputer,0.0,5815.9395,21.8
Basis Data,Apa itu basis data?,Basis data adalah sekumpulan data yang sistematis dan terorganisir yang disimpan dalam komputer.,Basis data adalah sekumpulan data yang sistematis dam terorganisir yang disimpan dazam komputer. Konsep ini pqnting dalam dunia tekzologi informasi.,83.81999969482422,8347.616,90.0
Basis Data,Apa itu basis data?,Basis data adalah sekumpulan data yang sistematis dan terorganisir yang disimpan dalam komputer.,yang terorganisir dalam sistematis data komputer. data dan Basis sekumpulan yang,82.91000366210938,8950.454,77.96363636363637
Basis Data,Apa itu basis data?,Basis data adalah sekumpulan data yang sistematis dan terorganisir yang disimpan dalam komputer.,Basis data adalah sekumpulan data yang sistematis dan terorganisir yang disimpan dalam komputer. Konsep ini penting dalam dunia teknologi informasi.,84.7699966430664,9028.842,94.0
Basis Data,Apa itu basis data?,Basis data adalah sekumpulan data yang sistematis dan terorganisir yang disimpan dalam komputer.,data dabam dysgmpxn,14.84000015258789,2835.9163,26.8
Basis Data,Apa itu basis data?,Basis data adalah sekumpulan data yang sistematis dan terorganisir yang disimpan dalam komputer.,yang sekumpulan yang sistematis adalah komputer. disimpan terorganisir dalam Basis data Konsep ini penting dalam dunia teknologi informasi.,83.06999969482422,8321.782,88.57777777777777
Basis Data,Apa itu basis data?,Basis data adalah sekumpulan data yang sistematis dan terorganisir yang disimpan dalam komputer.,untuk sistem,0.0,2709.0015,21.2
Basis Data,Apa itu basis data?,Basis data adalah sekumpulan data yang sistematis dan terorganisir yang disimpan dalam komputer.,Basis data adalah sekumpulan data yang sistematis dan terorganisir yang disimpan dalam komputer. Contoh penerapannya sering ditemukan dalam sistem modern.,86.61000061035156,8870.146,94.0
Basis Data,Apa itu basis data?,Basis data adalah sekumpulan data yang sistematis dan terorganisir yang disimpan dalam komputer.,Basis data adalah sekumpulan data yang sistematis dan terorganisir yang disimpan dalam komputer. Konsep ini penting dalam dunia teknologi informasi.,85.11000061035156,9028.842,94.0
Basis Data,Apa itu basis data?,Basis data adalah sekumpulan data yang sistematis dan terorganisir yang disimpan dalam komputer.,Saya suka belajar pemrograman di kampus.,0.0,2472.8367,23.6
Basis Data,Apa itu basis data?,Basis data adalah sekumpulan data yang sistematis dan terorganisir yang disimpan dalam komputer.,data dalam komputer. terorganisir sekumpulan Basis adalah tetapi konsep tersebut tidak digunakan lagi,73.19000244140625,7745.3164,72.8
Basis Data,Apa itu basis data?,Basis data adalah sekumpulan data yang sistematis dan terorganisir yang disimpan dalam komputer.,sistematis yang data terorganisir komputer. data digunakan dalam sistem,73.12999725341797,8924.303,53.17777777777778
