course,question,reference_answer,student_answer,instructor_score
Algoritma,Apa itu algoritma sorting?,Algoritma sorting adalah metode untuk mengurutkan elemen dalam sebuah list atau array.,dalam array. sorting list mengurutkan sebuah untuk metode elemen,54.70715854291902
Algoritma,Apa itu algoritma sorting?,Algoritma sorting adalah metode untuk mengurutkan elemen dalam sebuah list atau array.,Algoritma sorting adalah metode untuk mengurutkan elemen dalam sebuah list atau array. Biasanya digunakan dalam sistem komputer.,71.10050789612244
Algoritma,Apa itu algoritma sorting?,Algoritma sorting adalah metode untuk mengurutkan elemen dalam sebuah list atau array.,kurang paham,5.2354775420430375
Algoritma,Apa itu algoritma sorting?,Algoritma sorting adalah metode untuk mengurutkan elemen dalam sebuah list atau array.,sorting adalah sebuah atau dalam metode biasanya,37.41199121619606
Algoritma,Apa itu algoritma sorting?,Algoritma sorting adalah metode untuk mengurutkan elemen dalam sebuah list atau array.,metode sorting mengurutkan untuk list sebuah digunakan,38.26585647441456
Algoritma,Apa itu algoritma sorting?,Algoritma sorting adalah metode untuk mengurutkan elemen dalam sebuah list atau array.,elemen atau array. metode untuk adalah digunakan,41.42172482491398
Algoritma,Apa itu algoritma sorting?,Algoritma sorting adalah metode untuk mengurutkan elemen dalam sebuah list atau array.,array. metode untuk list sorting elemen digunakan,39.84569109352132
Algoritma,Apa itu algoritma sorting?,Algoritma sorting adalah metode untuk mengurutkan elemen dalam sebuah list atau array.,struktur data penting,9.257888975476963
Algoritma,Apa itu algoritma sorting?,Algoritma sorting adalah metode untuk mengurutkan elemen dalam sebuah list atau array.,array. untuk atau dalam list sorting sebuah adalah metode,54.36334735031505
Algoritma,Apa itu algoritma sorting?,Algoritma sorting adalah metode untuk mengurutkan elemen dalam sebuah list atau array.,Algoritma sorting adalah metode untuk mengurutkan elemen dalam sebuah list atau array.,79.5144228557954
Algoritma,Apa itu algoritma sorting?,Algoritma sorting adalah metode untuk mengurutkan elemen dalam sebuah list atau array.,Algoritma sorting adalah metode untuk mengurutkan elemen dalam sebuah list atau array.,75.98802411374916
Algoritma,Apa itu algoritma sorting?,Algoritma sorting adalah metode untuk mengurutkan elemen dalam sebuah list atau array.,Algoritma list mengurutkan sebuah elemen sorting untuk metode dalam,65.71054425228213
Algoritma,Apa itu algoritma sorting?,Algoritma sorting adalah metode untuk mengurutkan elemen dalam sebuah list atau array.,Algoritma sorting adalah metode untuk mengurutkan elemen dalam sebuah list atau array.,78.81527146326917
