essay_id,gen_score
Algoritma Pemrograman_122,0.0
Algoritma Pemrograman_129,90.0
Algoritma Pemrograman_131,82.0
Algoritma Pemrograman_132,46.0
Algoritma Pemrograman_14,0.0
Algoritma Pemrograman_166,98.0
Algoritma Pemrograman_171,53.0
Algoritma Pemrograman_211,0.0
Algoritma Pemrograman_220,88.0
Algoritma Pemrograman_221,0.0
Algoritma Pemrograman_24,77.0
Algoritma Pemrograman_240,70.0
Algoritma Pemrograman_241,75.0
Algoritma Pemrograman_247,0.0
Algoritma Pemrograman_253,75.0
Algoritma Pemrograman_264,81.0
Algoritma Pemrograman_272,85.0
Algoritma Pemrograman_279,4.0
Algoritma Pemrograman_29,0.0
Algoritma Pemrograman_293,0.0
Algoritma Pemrograman_304,85.0
Algoritma Pemrograman_307,44.0
Algoritma Pemrograman_320,82.0
Algoritma Pemrograman_321,92.0
Algoritma Pemrograman_332,65.0
Algoritma Pemrograman_333,75.0
Algoritma Pemrograman_348,85.0
Algoritma Pemrograman_350,84.0
Algoritma Pemrograman_373,75.0
Algoritma Pemrograman_384,82.0
Algoritma Pemrograman_409,63.0
Algoritma Pemrograman_429,87.0
Algoritma Pemrograman_44,0.0
Algoritma Pemrograman_451,75.0
Algoritma Pemrograman_452,83.0
Algoritma Pemrograman_495,84.0
Algoritma Pemrograman_496,50.0
Algoritma Pemrograman_50,0.0
Algoritma Pemrograman_505,85.0
Algoritma Pemrograman_519,80.0
Algoritma Pemrograman_525,0.0
Algoritma Pemrograman_526,95.0
Algoritma Pemrograman_569,4.0
Algoritma Pemrograman_592,70.0
Algoritma Pemrograman_593,82.0
Algoritma Pemrograman_594,0.0
Algoritma Pemrograman_600,80.0
Algoritma Pemrograman_610,80.0
Algoritma Pemrograman_623,56.0
Algoritma Pemrograman_624,0.0
Algoritma Pemrograman_628,80.0
Algoritma Pemrograman_632,0.0
Algoritma Pemrograman_649,40.0
Algoritma Pemrograman_659,0.0
Algoritma Pemrograman_661,87.0
Algoritma Pemrograman_669,36.0
Algoritma Pemrograman_670,3.0
Algoritma Pemrograman_692,64.0
Algoritma Pemrograman_695,85.0
Algoritma Pemrograman_703,92.0
Algoritma Pemrograman_722,89.0
Algoritma Pemrograman_731,25.0
Algoritma Pemrograman_732,84.0
Algoritma Pemrograman_755,70.0
Algoritma Pemrograman_756,0.0
Algoritma Pemrograman_757,72.0
Algoritma Pemrograman_760,30.0
Algoritma Pemrograman_772,0.0
Algoritma Pemrograman_79,70.0
Algoritma Pemrograman_797,75.0
Algoritma Pemrograman_94,80.0
Basis Data_0,65.0
Basis Data_10,75.0
Basis Data_126,79.0
Basis Data_151,0.0
Basis Data_169,30.0
Basis Data_189,64.0
Basis Data_197,80.0
Basis Data_205,20.0
Basis Data_208,93.0
Basis Data_210,75.0
Basis Data_217,98.0
Basis Data_22,0.0
Basis Data_222,0.0
