course,question,reference_answer,student_answer,instructor_score,semantic_score,rubric_score
Sistem Operasi,Apa fungsi dari sistem operasi?,Sistem operasi adalah perangkat lunak yang mengelola perangkat keras komputer dan menyediakan layanan untuk program komputer.,layanan program komputer. mengelola perangkat komputer yang untuk operasi Sistem menyediakan lunak dan adalah,85.45999908447266,9508.363,100.0
Sistem Operasi,Apa fungsi dari sistem operasi?,Sistem operasi adalah perangkat lunak yang mengelola perangkat keras komputer dan menyediakan layanan untuk program komputer.,layanan program unzuk peuannkaf,21.860000610351562,3523.7358,32.4
Sistem Operasi,Apa fungsi dari sistem operasi?,Sistem operasi adalah perangkat lunak yang mengelola perangkat keras komputer dan menyediakan layanan untuk program komputer.,Sistem operasi adalah perangkat lunak yang mengelola perangkat keras komputer dan menyediakan layanan untuk program komputer. Hal ini membantu meningkatkan efisiensi sistem.,86.19999694824219,9166.736,100.0
Sistem Operasi,Apa fungsi dari sistem operasi?,Sistem operasi adalah perangkat lunak yang mengelola perangkat keras komputer dan menyediakan layanan untuk program komputer.,Python adalah bahasa pemrograman populer.,9.0,5403.969,28.0
Sistem Operasi,Apa fungsi dari sistem operasi?,Sistem operasi adalah perangkat lunak yang mengelola perangkat keras komputer dan menyediakan layanan untuk program komputer.,Sistem operasi adalah perangkat lunak yang mengelola perangkat keras komputer dan menyediakan layanan untuk program komputer.,92.51000213623047,10000.0,100.0
Sistem Operasi,Apa fungsi dari sistem operasi?,Sistem operasi adalah perangkat lunak yang mengelola perangkat keras komputer dan menyediakan layanan untuk program komputer.,program perangkat perangkat operasi Sistem layanan dan menyediakan mengelola keras komputer. komputer yang adalah,86.23999786376953,9423.54,100.0
Sistem Operasi,Apa fungsi dari sistem operasi?,Sistem operasi adalah perangkat lunak yang mengelola perangkat keras komputer dan menyediakan layanan untuk program komputer.,Sistem komputer operasi yang mengelola adalah komputer. lunak digunakan dalam sistem,81.91999816894531,9306.5625,74.78181818181818
Sistem Operasi,Apa fungsi dari sistem operasi?,Sistem operasi adalah perangkat lunak yang mengelola perangkat keras komputer dan menyediakan layanan untuk program komputer.,perangkat menyediakan Sistem dan komputer program keras operasi pada komputer,81.5,9103.7295,74.0
Sistem Operasi,Apa fungsi dari sistem operasi?,Sistem operasi adalah perangkat lunak yang mengelola perangkat keras komputer dan menyediakan layanan untuk program komputer.,Jaringan internet sangat penting saat ini.,0.0,3310.8074,23.6
Sistem Operasi,Apa fungsi dari sistem operasi?,Sistem operasi adalah perangkat lunak yang mengelola perangkat keras komputer dan menyediakan layanan untuk program komputer.,mengelola yang operasi adalah Sistem menyediakan lunak program untuk layanan komputer perangkat komputer. dan,86.72000122070312,9533.062,100.0
Sistem Operasi,Apa fungsi dari sistem operasi?,Sistem operasi adalah perangkat lunak yang mengelola perangkat keras komputer dan menyediakan layanan untuk program komputer.,Sistem operasi adalah perangkat lunak yang mengelola perangkat keras komputer dan menyediakan layanan untuk program komputer.,92.4000015258789,10000.0,100.0
Sistem Operasi,Apa fungsi dari sistem operasi?,Sistem operasi adalah perangkat lunak yang mengelola perangkat keras komputer dan menyediakan layanan untuk program komputer.,digunakan di komputer,0.0,6485.678,26.8
Sistem Operasi,Apa fungsi dari sistem operasi?,Sistem operasi adalah perangkat lunak yang mengelola perangkat keras komputer dan menyediakan layanan untuk program komputer.,Jaringan internet sangat penting saat ini.,0.0,3310.8074,23.6
Sistem Operasi,Apa fungsi dari sistem operasi?,Sistem operasi adalah perangkat lunak yang mengelola perangkat keras komputer dan menyediakan layanan untuk program komputer.,lunak perangkat keras komputer operasi menyediakan program komputer. yang mengelola perangkat Sistem adalah untuk Metode tersebut banyak digunakan dalam pengembangan aplikasi.,85.5199966430664,8882.421,100.0
Sistem Operasi,Apa fungsi dari sistem operasi?,Sistem operasi adalah perangkat lunak yang mengelola perangkat keras komputer dan menyediakan layanan untuk program komputer.,mengelola layanan lunak yang dan perangkat komputer. keras adalah menyediakan komputer Sistem operasi program,85.25,9435.691,100.0
Sistem Operasi,Apa fungsi dari sistem operasi?,Sistem operasi adalah perangkat lunak yang mengelola perangkat keras komputer dan menyediakan layanan untuk program komputer.,kurang paham,0.0,-935.59906,21.2
Sistem Operasi,Apa fungsi dari sistem operasi?,Sistem operasi adalah perangkat lunak yang mengelola perangkat keras komputer dan menyediakan layanan untuk program komputer.,adalah lunak program keras menyediakan dan komputer perangkat pada komputer,73.04000091552734,9050.486,64.0
