student_id,course,student_answer,reference_answer,x_dl,x_sem,rubric_data,y_actual
MHS_100,Struktur Data - Graph Overview,Teks jawaban simulasi mahasiswa 0 untuk topik Struktur Data - Graph Overview...,Teks kunci jawaban ideal dosen untuk topik Struktur Data - Graph Overview...,58.0,50.0,"{""analisis_masalah"": 53, ""arsitektur_data"": 53, ""fungsionalitas_program"": 62, ""dokumentasi"": 50}",56
MHS_101,Struktur Data - Stack & Queue,Teks jawaban simulasi mahasiswa 1 untuk topik Struktur Data - Stack & Queue...,Teks kunci jawaban ideal dosen untuk topik Struktur Data - Stack & Queue...,69.0,70.0,"{""analisis_masalah"": 65, ""arsitektur_data"": 69, ""fungsionalitas_program"": 59, ""dokumentasi"": 64}",70
MHS_102,Struktur Data - Tree & Balanced Tree,Teks jawaban simulasi mahasiswa 2 untuk topik Struktur Data - Tree & Balanced Tree...,Teks kunci jawaban ideal dosen untuk topik Struktur Data - Tree & Balanced Tree...,92.0,82.0,"{""pemahaman_teori"": 87, ""logika_algoritma"": 86, ""kerapian_kode"": 84}",86
MHS_103,Struktur Data - Tree & Balanced Tree,Teks jawaban simulasi mahasiswa 3 untuk topik Struktur Data - Tree & Balanced Tree...,Teks kunci jawaban ideal dosen untuk topik Struktur Data - Tree & Balanced Tree...,70.0,67.0,"{""rumusan_masalah_solusi"": 74, ""landasan_teori"": 79, ""desain_sistem"": 81, ""implementasi_program"": 77, ""presentasi_kesimpulan"": 81}",72
MHS_104,Struktur Data - Graph Overview,Teks jawaban simulasi mahasiswa 4 untuk topik Struktur Data - Graph Overview...,Teks kunci jawaban ideal dosen untuk topik Struktur Data - Graph Overview...,82.0,75.0,"{""pemahaman_teori"": 81, ""logika_algoritma"": 78, ""kerapian_kode"": 73}",76
MHS_105,Struktur Data - Hashing Search,Teks jawaban simulasi mahasiswa 5 untuk topik Struktur Data - Hashing Search...,Teks kunci jawaban ideal dosen untuk topik Struktur Data - Hashing Search...,91.0,89.0,"{""pemahaman_teori"": 96, ""logika_algoritma"": 90, ""kerapian_kode"": 88}",90
MHS_106,Struktur Data - Graph Overview,Teks jawaban simulasi mahasiswa 6 untuk topik Struktur Data - Graph Overview...,Teks kunci jawaban ideal dosen untuk topik Struktur Data - Graph Overview...,84.0,91.0,"{""rumusan_masalah_solusi"": 90, ""landasan_teori"": 86, ""desain_sistem"": 86, ""implementasi_program"": 93, ""presentasi_kesimpulan"": 83}",86
MHS_107,Struktur Data - Tree & Balanced Tree,Teks jawaban simulasi mahasiswa 7 untuk topik Struktur Data - Tree & Balanced Tree...,Teks kunci jawaban ideal dosen untuk topik Struktur Data - Tree & Balanced Tree...,86.0,86.0,"{""rumusan_masalah_solusi"": 92, ""landasan_teori"": 89, ""desain_sistem"": 90, ""implementasi_program"": 87, ""presentasi_kesimpulan"": 94}",89
MHS_108,Struktur Data - Stack & Queue,Teks jawaban simulasi mahasiswa 8 untuk topik Struktur Data - Stack & Queue...,Teks kunci jawaban ideal dosen untuk topik Struktur Data - Stack & Queue...,88.0,83.0,"{""pemahaman_teori"": 91, ""logika_algoritma"": 82, ""kerapian_kode"": 89}",85
MHS_109,Struktur Data - Graph Overview,Teks jawaban simulasi mahasiswa 9 untuk topik Struktur Data - Graph Overview...,Teks kunci jawaban ideal dosen untuk topik Struktur Data - Graph Overview...,88.0,90.0,"{""analisis_masalah"": 90, ""arsitektur_data"": 91, ""fungsionalitas_program"": 96, ""dokumentasi"": 86}",90
