course,question,reference_answer,student_answer,instructor_score,semantic_score,rubric_score
Pemrograman Berorientasi Objek,Apa itu kelas dalam OOP?,Kelas adalah blueprint atau template untuk membuat objek dalam pemrograman berorientasi objek.,blueprint dalam pemrograman adalah berorientasi objek. objek meskipun sebenarnya tidak diperlukan,69.2699966430664,6438.652,71.6
Pemrograman Berorientasi Objek,Apa itu kelas dalam OOP?,Kelas adalah blueprint atau template untuk membuat objek dalam pemrograman berorientasi objek.,dalam tbjek teiplate,15.130000114440918,2242.4463,36.8
Pemrograman Berorientasi Objek,Apa itu kelas dalam OOP?,Kelas adalah blueprint atau template untuk membuat objek dalam pemrograman berorientasi objek.,objek. membuat dalsm,16.059999465942383,2600.4812,31.8
Pemrograman Berorientasi Objek,Apa itu kelas dalam OOP?,Kelas adalah blueprint atau template untuk membuat objek dalam pemrograman berorientasi objek.,berorientasi untuk pemrograman membuat objek template dalam tetapi konsep tersebut tidak digunakan lagi,60.0,4414.3877,72.8
Pemrograman Berorientasi Objek,Apa itu kelas dalam OOP?,Kelas adalah blueprint atau template untuk membuat objek dalam pemrograman berorientasi objek.,Kelas atau template objek. pemrograman untuk berorientasi meskipun sebenarnya tidak diperlukan,71.11000061035156,6945.3857,71.6
Pemrograman Berorientasi Objek,Apa itu kelas dalam OOP?,Kelas adalah blueprint atau template untuk membuat objek dalam pemrograman berorientasi objek.,Python adalah bahasa pemrograman populer.,1.7999999523162842,3923.4224,33.0
Pemrograman Berorientasi Objek,Apa itu kelas dalam OOP?,Kelas adalah blueprint atau template untuk membuat objek dalam pemrograman berorientasi objek.,objek. membuat Kelas objek untuk adalah atau tetapi sistem tersebut jarang dipakai,63.209999084472656,5634.7144,72.2
Pemrograman Berorientasi Objek,Apa itu kelas dalam OOP?,Kelas adalah blueprint atau template untuk membuat objek dalam pemrograman berorientasi objek.,objek. Kelas membuat dalam untuk template atau blueprint objek adalah,85.7300033569336,8396.519,96.0
Pemrograman Berorientasi Objek,Apa itu kelas dalam OOP?,Kelas adalah blueprint atau template untuk membuat objek dalam pemrograman berorientasi objek.,Kelas adalah blueprint atau template untuk membuat objek dalam pemrograman berorientasi objek. Hal ini membantu meningkatkan efisiensi sistem.,88.91000366210938,8944.794,100.0
Pemrograman Berorientasi Objek,Apa itu kelas dalam OOP?,Kelas adalah blueprint atau template untuk membuat objek dalam pemrograman berorientasi objek.,membuat untuy objez.,0.0,1309.279,26.8
