course,question,reference_answer,student_answer,instructor_score,semantic_score,rubric_score
Web Programming,Apa fungsi HTML,HTML digunakan untuk membangun struktur halaman web.,web. membangun digunakan struktur meskipun sebenarnya tidak diperlukan,55.61000061035156,5921.081,44.8
Web Programming,Apa fungsi HTML,HTML digunakan untuk membangun struktur halaman web.,struktur membangun halaman untuk web.,65.43000030517578,7895.485,48.0
Web Programming,Apa fungsi HTML,HTML digunakan untuk membangun struktur halaman web.,wei. digunakan HTML,29.579999923706055,4311.658,41.8
Web Programming,Apa fungsi HTML,HTML digunakan untuk membangun struktur halaman web.,struktur untuk membangun HTML digunakan Hal ini membantu meningkatkan efisiensi sistem.,72.37000274658203,7234.317,61.6
Web Programming,Apa fungsi HTML,HTML digunakan untuk membangun struktur halaman web.,HTML digunakan untuk membangun struktur halaman web. Contoh penerapannya sering ditemukan dalam sistem modern.,79.48999786376953,8833.361,73.4
Web Programming,Apa fungsi HTML,HTML digunakan untuk membangun struktur halaman web.,untuk digunakan web. digunakan dalam sistem,59.58000183105469,7538.047,35.266666666666666
Web Programming,Apa fungsi HTML,HTML digunakan untuk membangun struktur halaman web.,digunakan web. membangun dalam teknologi,57.31999969482422,7042.185,38.0
Web Programming,Apa fungsi HTML,HTML digunakan untuk membangun struktur halaman web.,struktur digunakan halaman HTML web. Pendekatan tersebut digunakan dalam berbagai kasus.,73.19000244140625,8104.6226,59.78181818181819
Web Programming,Apa fungsi HTML,HTML digunakan untuk membangun struktur halaman web.,HTML digunakan untuk membangun struktur halaman web. Hal ini membantu meningkatkan efisiensi sistem.,82.41000366210938,8899.824,72.8
Web Programming,Apa fungsi HTML,HTML digunakan untuk membangun struktur halaman web.,untuk halaman HTML digunakan namun metode tersebut sudah tidak relevan,63.70000076293945,5818.112,56.0
Web Programming,Apa fungsi HTML,HTML digunakan untuk membangun struktur halaman web.,Database digunakan untuk menyimpan data.,9.239999771118164,5476.5366,33.0
Web Programming,Apa fungsi HTML,HTML digunakan untuk membangun struktur halaman web.,untuk struktur halaman HTML web.,74.20999908447266,8399.495,58.0
Web Programming,Apa fungsi HTML,HTML digunakan untuk membangun struktur halaman web.,web. struktus untuk,26.239999771118164,4969.313,31.8
Web Programming,Apa fungsi HTML,HTML digunakan untuk membangun struktur halaman web.,digunakan di komputer,0.0,2716.5,26.8
