index,gen_score
1178,60
1649,90
397,90
1728,80
331,95
1660,70
522,80
1947,80
1314,80
165,80
625,80
1793,95
1647,90
1531,80
878,70
1797,90
1749,80
992,90
1431,85
493,85
291,85
338,90
93,95
167,85
122,80
1111,80
203,80
250,90
306,85
1551,70
1675,80
393,85
362,85
607,90
1277,95
753,90
185,95
597,70
374,70
467,85
1198,70
1670,80
1910,80
455,80
288,75
1120,90
912,70
366,85
508,80
51,90
1835,90
1905,90
345,95
1139,70
1365,90
1618,80
1394,90
131,95
193,90
1424,85
364,80
398,85
1093,70
330,80
1897,80
661,85
426,80
1989,95
1672,80
1956,80
492,80
1819,80
1882,70
856,70
931,70
395,80
1311,70
296,85
334,80
337,80
810,70
1720,70
262,85
1970,70
1163,80
1679,80
298,90
407,90
1154,70
1009,90
1771,90
319,80
1075,85
1730,80
1058,90
1438,70
1740,90
1386,80
1512,70
1230,80
56,90
1451,90
350,80
1613,80
1661,70
230,70
197,95
1527,80
682,80
850,70
2,80
1511,80
66,80
978,90
1119,80
129,80
732,80
290,85
87,95
86,70
268,85
1907,80
1585,70
52,80
1465,90
181,90
982,80
1703,80
1928,90
671,85
481,85
420,85
339,85
951,90
1122,90
47,85
105,95
1757,80
124,80
1205,80
159,90
118,95
67,90
161,70
1686,95
215,70
1877,60
1313,80
1842,80
63,80
621,90
636,70
1816,70
940,85
1850,90
950,70
626,80
1657,90
488,85
1456,80
974,90
1524,80
1364,70
637,80
324,90
1238,80
1416,70
608,80
1061,70
723,90
916,80
806,85
317,70
136,90
521,90
1505,90
1348,70
473,85
276,95
1646,90
1455,90
478,80
451,80
1291,60
363,70
1839,70
241,95
830,70
58,85
138,95
201,85
100,90
1770,90
1528,70
816,80
439,95
828,80
289,95
295,90
1828,90
767,70
155,90
409,90
802,90
730,80
1899,90
285,70
750,90
970,80
198,85
344,90
381,95
1718,90
135,95
208,85
925,80
744,70
465,80
868,80
436,80
1025,85
1541,80
1132,80
133,95
1373,70
1864,70
1824,80
1064,75
1643,80
939,80
413,70
327,95
25,80
498,90
1415,85
895,60
1790,80
1632,60
1186,80
94,90
1744,80
1275,70
342,85
1773,90
714,70
1126,90
1631,80
425,90
427,70
1716,90
346,85
419,85
310,80
690,85
1319,80
1322,80
341,85
1031,70
1152,70
595,90
518,70
475,90
969,80
1522,80
1084,90
142,85
21,85
1553,85
74,85
768,80
1248,80
71,85
1220,80
189,70
146,90
430,85
1698,85
811,80
22,90
333,85
499,85
512,85
249,80
88,70
256,80
1663,80
1694,90
239,80
1017,70
343,90
163,80
1741,90
266,85
116,90
888,90
881,70
429,85
443,85
248,80
1349,85
254,80
1530,90
494,85
1549,90
635,70
137,90
279,80
391,85
1435,90
326,95
1146,80
1881,80
953,70
890,70
359,85
403,70
832,70
1934,70
275,95
1746,95
1911,70
600,60
72,90
1445,90
1423,80
1168,85
228,75
1333,60
1523,80
1685,70
457,75
196,95
586,90
1393,80
1181,80
1985,90
1653,90
1868,70
1992,70
803,90
773,80
1913,80
372,90
1196,80
1924,90
1785,85
1344,80
456,60
1727,80
97,95
1753,80
272,90
1376,80
804,70
273,85
1041,60
791,80
1810,80
3,85
1827,90
286,75
103,90
314,95
300,80
1666,70
448,90
1459,80
589,80
442,75
486,70
1826,90
396,85
154,95
606,80
1896,90
353,60
260,80
325,80
1576,70
1890,70
416,80
1766,90
202,80
34,85
899,80
936,80
371,80
171,90
1228,90
1356,70
645,60
99,98
1506,70
628,90
315,80
1127,70
1944,80
1619,80
1357,90
304,80
318,70
1708,90
938,95
1974,70
1169,80
882,70
1734,80
823,75
375,95
1235,95
820,90
1917,70
587,80
123,95
282,85
188,95
502,70
39,85
76,80
1050,90
854,90
1655,95
1758,90
65,95
1187,70
542,70
1731,90
1252,80
0,80
1662,85
1786,90
1034,70
90,80
736,85
643,80
1644,90
199,80
819,70
153,90
246,80
452,80
417,95
477,90
1487,70
83,95
545,90
1339,95
115,85
119,95
1347,80
735,80
1809,80
382,85
308,90
885,90
1656,80
533,80
380,85
91,98
460,85
464,75
292,85
860,85
321,80
487,85
1998,90
229,60
708,80
210,85
1920,85
684,95
934,90
617,70
1078,70
1410,70
50,80
656,90
383,90
1293,80
599,90
1893,85
376,80
377,80
446,95
1665,90
143,95
814,85
438,85
1615,90
192,80
386,95
30,90
18,70
1621,90
615,85
1930,60
1361,80
1073,80
1845,70
1678,80
1323,70
476,90
166,90
368,70
584,90
459,85
1761,90
1040,70
20,80
1901,70
1145,80
1059,70
686,70
623,80
194,90
1464,80
1983,70
209,85
843,90
247,75
140,90
1207,70
110,95
1123,80
1107,70
1912,70
421,85
1580,90
253,85
857,70
1508,70
1996,90
1606,90
754,70
48,85
78,90
96,98
44,80
986,80
1689,90
59,70
1297,80
616,90
910,90
1224,85
1458,80
1070,70
158,80
355,80
483,85
536,80
428,80
294,90
1039,85
1774,85
1715,70
207,80
132,95
1251,80
147,95
1876,90
1908,80
782,90
734,90
1539,80
729,85
784,90
1006,90
578,90
631,80
1521,80
280,85
121,90
1267,85
445,85
309,60
1470,70
36,80
411,85
507,80
179,85
32,85
540,80
82,90
1988,85
722,70
1616,90
588,80
1693,90
1324,80
1284,70
1638,90
821,85
1707,70
354,85
