course,question,reference_answer,student_answer,instructor_score,semantic_score,rubric_score
Rekayasa Perangkat Lunak,Apa itu rekayasa perangkat lunak?,"Rekayasa perangkat lunak adalah disiplin ilmu yang mempelajari proses pengembangan perangkat lunak secara sistematis, terstruktur, dan terukur untuk menghasilkan perangkat lunak yang berkualitas.",lunak mempelajari pengembangan lunak Rekayasa ilmu perangkat secara disiplin proses perangkat pada komputer,84.66999816894531,8579.988,89.72307692307692
Rekayasa Perangkat Lunak,Apa itu rekayasa perangkat lunak?,"Rekayasa perangkat lunak adalah disiplin ilmu yang mempelajari proses pengembangan perangkat lunak secara sistematis, terstruktur, dan terukur untuk menghasilkan perangkat lunak yang berkualitas.","Rekayasa perangkat lunak adalah disiplin ilmu yang mempelajari proses pengembangan perangkat lunak secara sistematis, terstruktur, dan terukur untuk menghasilkan perangkat lunak yang berkualitas. Hal ini membantu meningkatkan efisiensi sistem.",91.66000366210938,9516.471,100.0
Rekayasa Perangkat Lunak,Apa itu rekayasa perangkat lunak?,"Rekayasa perangkat lunak adalah disiplin ilmu yang mempelajari proses pengembangan perangkat lunak secara sistematis, terstruktur, dan terukur untuk menghasilkan perangkat lunak yang berkualitas.",Database digunakan untuk menyimpan data.,0.0,3314.8037,28.0
Rekayasa Perangkat Lunak,Apa itu rekayasa perangkat lunak?,"Rekayasa perangkat lunak adalah disiplin ilmu yang mempelajari proses pengembangan perangkat lunak secara sistematis, terstruktur, dan terukur untuk menghasilkan perangkat lunak yang berkualitas.",Jaringan internet sangat penting saat ini.,0.0,3200.7617,23.6
Rekayasa Perangkat Lunak,Apa itu rekayasa perangkat lunak?,"Rekayasa perangkat lunak adalah disiplin ilmu yang mempelajari proses pengembangan perangkat lunak secara sistematis, terstruktur, dan terukur untuk menghasilkan perangkat lunak yang berkualitas.",kurang paham,0.0,485.258,21.2
Rekayasa Perangkat Lunak,Apa itu rekayasa perangkat lunak?,"Rekayasa perangkat lunak adalah disiplin ilmu yang mempelajari proses pengembangan perangkat lunak secara sistematis, terstruktur, dan terukur untuk menghasilkan perangkat lunak yang berkualitas.","Rekayasa perangkat lunak adalah disiplin ilmu yang mempelajari proses pengembangan perangkat lunak secara sistematis, terstruktur, dan terukur untuk menghasilkan perangkat lunak yang berkualitas. Pendekatan tersebut digunakan dalam berbagai kasus.",92.1500015258789,9296.231,100.0
Rekayasa Perangkat Lunak,Apa itu rekayasa perangkat lunak?,"Rekayasa perangkat lunak adalah disiplin ilmu yang mempelajari proses pengembangan perangkat lunak secara sistematis, terstruktur, dan terukur untuk menghasilkan perangkat lunak yang berkualitas.",Saya suka belajar pemrograman di kampus.,0.7099999785423279,4024.4941,23.6
Rekayasa Perangkat Lunak,Apa itu rekayasa perangkat lunak?,"Rekayasa perangkat lunak adalah disiplin ilmu yang mempelajari proses pengembangan perangkat lunak secara sistematis, terstruktur, dan terukur untuk menghasilkan perangkat lunak yang berkualitas.","Rekayasa perangkat lunak adalah disiplin ilmu yang mempelajari proses pengembangan perangkat lunak secara sistematis, terstruktur, dan terukur untuk menghasilkan perangkat lunak yang berkualitas. Hal ini membantu meningkatkan efisiensi sistem.",92.7699966430664,9516.471,100.0
Rekayasa Perangkat Lunak,Apa itu rekayasa perangkat lunak?,"Rekayasa perangkat lunak adalah disiplin ilmu yang mempelajari proses pengembangan perangkat lunak secara sistematis, terstruktur, dan terukur untuk menghasilkan perangkat lunak yang berkualitas.","Rekayasa perangkat lunak adalah disiplin ilmu yang mempelajari proses pengembangan perangkat lunak secara sistematis, terstruktur, dan terukur untuk menghasilkan perangkat lunak yang berkualitas. Pendekatan tersebut digunakan dalam berbagai kasus.",89.8499984741211,9296.231,100.0
Rekayasa Perangkat Lunak,Apa itu rekayasa perangkat lunak?,"Rekayasa perangkat lunak adalah disiplin ilmu yang mempelajari proses pengembangan perangkat lunak secara sistematis, terstruktur, dan terukur untuk menghasilkan perangkat lunak yang berkualitas.",kurang paham,0.0,485.258,21.2
Rekayasa Perangkat Lunak,Apa itu rekayasa perangkat lunak?,"Rekayasa perangkat lunak adalah disiplin ilmu yang mempelajari proses pengembangan perangkat lunak secara sistematis, terstruktur, dan terukur untuk menghasilkan perangkat lunak yang berkualitas.","sistematis, secara lunak mempelajari perangkat berkualitas. pengembangan lunak Rekayasa terukur dan pada komputer",84.97000122070312,8313.888,96.26153846153846
Rekayasa Perangkat Lunak,Apa itu rekayasa perangkat lunak?,"Rekayasa perangkat lunak adalah disiplin ilmu yang mempelajari proses pengembangan perangkat lunak secara sistematis, terstruktur, dan terukur untuk menghasilkan perangkat lunak yang berkualitas.","Rekayasa berkualitas. yang terukur lunak menghasilkan perangkat lunak adalah terstruktur, perangkat digunakan dalam sistem",82.29000091552734,8528.866,90.54285714285714
Rekayasa Perangkat Lunak,Apa itu rekayasa perangkat lunak?,"Rekayasa perangkat lunak adalah disiplin ilmu yang mempelajari proses pengembangan perangkat lunak secara sistematis, terstruktur, dan terukur untuk menghasilkan perangkat lunak yang berkualitas.","Rekayasa perangkat lunak adalah disiplin ilmu yang mempelajari proses pengembangan perangkat lunak secara sistematis, terstruktur, dan terukur untuk menghasilkan perangkat lunak yang berkualitas. Konsep ini penting dalam dunia teknologi informasi.",90.55000305175781,9286.444,100.0
Rekayasa Perangkat Lunak,Apa itu rekayasa perangkat lunak?,"Rekayasa perangkat lunak adalah disiplin ilmu yang mempelajari proses pengembangan perangkat lunak secara sistematis, terstruktur, dan terukur untuk menghasilkan perangkat lunak yang berkualitas.",disiplin pengemlangan peranghat pecara mempglajayi dan,8.489999771118164,1474.5189,33.6
